,model_action,best_action_t_plus_1,mean_price
994,H,B,0.9279999999999999
995,H,B,0.9279999999999999
996,H,B,0.929
997,H,B,0.93
998,H,B,0.93
999,H,S,0.929
1000,H,B,0.93
1001,H,B,0.932
1002,H,B,0.932
1003,H,B,0.9329999999999999
1004,H,B,0.9329999999999999
1005,H,B,0.9359999999999999
1006,H,S,0.935
1007,H,S,0.934
1008,H,B,0.934
1009,H,B,0.934
1010,H,S,0.932
1011,H,S,0.93
1012,H,B,0.93
1013,H,B,0.9309999999999999
1014,H,B,0.9309999999999999
1015,H,B,0.9329999999999999
1016,H,S,0.9309999999999999
1017,H,S,0.93
1018,H,B,0.9309999999999999
1019,H,B,0.932
1020,H,S,0.9309999999999999
1021,H,B,0.9309999999999999
1022,H,B,0.932
1023,H,B,0.9329999999999999
1024,H,B,0.934
1025,H,S,0.9329999999999999
1026,H,B,0.9329999999999999
1027,H,B,0.9329999999999999
1028,H,B,0.9329999999999999
1029,H,B,0.934
1030,H,B,0.934
1031,H,B,0.934
1032,H,B,0.934
1033,H,S,0.9329999999999999
1034,H,B,0.9329999999999999
1035,H,B,0.9329999999999999
1036,H,S,0.932
1037,H,S,0.9309999999999999
1038,H,B,0.9309999999999999
1039,H,B,0.932
1040,H,B,0.932
1041,H,B,0.932
1042,H,S,0.93
1043,H,B,0.9309999999999999
1044,H,B,0.9309999999999999
1045,H,S,0.93
1046,H,S,0.9259999999999999
1047,H,B,0.9309999999999999
1048,H,B,0.9309999999999999
1049,H,S,0.929
1050,H,B,0.929
1051,H,S,0.9279999999999999
1052,H,S,0.927
1053,H,B,0.9279999999999999
1054,H,B,0.929
1055,H,S,0.9279999999999999
1056,H,S,0.927
1057,H,S,0.9259999999999999
1058,H,S,0.925
1059,H,S,0.924
1060,H,S,0.919
1061,H,S,0.9179999999999999
1062,H,B,0.9179999999999999
1063,H,S,0.9159999999999999
1064,H,B,0.9159999999999999
1065,H,S,0.9129999999999999
1066,H,B,0.914
1067,H,B,0.9159999999999999
1068,H,S,0.914
1069,H,B,0.914
1070,H,B,0.915
1071,H,B,0.9159999999999999
1072,H,B,0.9159999999999999
1073,H,S,0.915
1074,H,S,0.914
1075,H,B,0.915
1076,H,B,0.915
1077,H,B,0.915
1078,H,B,0.9159999999999999
1079,H,B,0.9159999999999999
1080,H,B,0.917
1081,H,B,0.919
1082,H,B,0.9209999999999999
1083,H,S,0.92
1084,H,B,0.9209999999999999
1085,H,B,0.9279999999999999
1086,H,B,0.937
1087,H,B,0.9390000000000001
1088,H,S,0.937
1089,H,S,0.935
1090,H,B,0.935
1091,H,S,0.934
1092,H,B,0.935
1093,H,B,0.935
1094,H,B,0.9359999999999999
1095,H,B,0.937
1096,H,B,0.9390000000000001
1097,H,B,0.9390000000000001
1098,H,S,0.938
1099,H,S,0.937
1100,H,B,0.937
1101,H,B,0.938
1102,H,B,0.9390000000000001
1103,H,B,0.9390000000000001
1104,H,B,0.94
1105,H,S,0.9390000000000001
1106,H,B,0.94
1107,H,B,0.94
1108,H,S,0.9390000000000001
1109,H,B,0.9390000000000001
1110,H,S,0.937
1111,H,S,0.9359999999999999
1112,H,B,0.937
1113,H,S,0.9359999999999999
1114,H,B,0.9359999999999999
1115,H,B,0.9390000000000001
1116,H,B,0.9390000000000001
1117,H,B,0.9390000000000001
1118,H,S,0.938
1119,H,B,0.938
1120,H,B,0.9390000000000001
1121,H,B,0.9390000000000001
1122,H,B,0.9390000000000001
1123,H,B,0.9390000000000001
1124,H,S,0.938
1125,H,B,0.938
1126,H,B,0.9390000000000001
1127,H,S,0.938
1128,H,S,0.9359999999999999
1129,H,B,0.938
1130,H,S,0.932
1131,H,B,0.9329999999999999
1132,H,B,0.9329999999999999
1133,H,B,0.935
1134,H,B,0.938
1135,H,B,0.94
1136,H,S,0.9390000000000001
1137,H,B,0.9390000000000001
1138,H,B,0.94
1139,H,B,0.94
1140,H,B,0.94
1141,H,B,0.94
1142,H,S,0.9390000000000001
1143,H,B,0.94
1144,H,S,0.9390000000000001
1145,H,B,0.9390000000000001
1146,H,S,0.937
1147,H,S,0.9359999999999999
1148,H,B,0.937
1149,H,S,0.9359999999999999
1150,H,S,0.932
