,model_action,best_action_t_plus_1,mean_price,original_price
1780,H,B,0.907,8347.437
1781,H,B,0.907,8342.265
1782,H,H,0.905,8325.9
1783,H,B,0.907,8341.923
1784,H,B,0.907,8346.788
1785,H,B,0.907,8347.398000000001
1786,H,B,0.907,8342.626
1787,H,B,0.907,8343.713
1788,H,B,0.907,8344.294
1789,H,B,0.9079999999999999,8350.476999999999
1790,H,B,0.909,8360.396
1791,H,B,0.909,8360.833
1792,H,H,0.9079999999999999,8355.77
1793,H,H,0.9059999999999999,8339.777
1794,H,H,0.905,8325.072
1795,H,B,0.9059999999999999,8335.097
1796,H,B,0.907,8340.133
1797,H,H,0.9059999999999999,8337.617
1798,H,B,0.9059999999999999,8331.296999999999
1799,H,B,0.9059999999999999,8330.963
1800,H,B,0.9059999999999999,8336.733
1801,H,B,0.9059999999999999,8339.707
1802,H,B,0.9059999999999999,8337.095
1803,H,B,0.907,8341.475
1804,H,H,0.9059999999999999,8338.221
1805,H,B,0.9059999999999999,8332.959
1806,H,H,0.905,8326.32
1807,H,H,0.904,8321.009
1808,H,B,0.905,8325.951
1809,H,H,0.904,8319.606
1810,H,B,0.904,8313.728000000001
1811,H,B,0.904,8318.658000000001
1812,H,H,0.903,8308.972
1813,H,B,0.904,8317.642
1814,H,B,0.904,8313.362
1815,H,B,0.904,8318.498
1816,H,B,0.904,8319.173
1817,H,B,0.904,8318.711
1818,H,B,0.904,8315.216
1819,H,B,0.905,8323.872
1820,H,B,0.9059999999999999,8332.437
1821,H,B,0.9059999999999999,8339.42
1822,H,B,0.9059999999999999,8335.829
1823,H,B,0.9059999999999999,8338.669
1824,H,B,0.9059999999999999,8331.232
1825,H,H,0.905,8325.648000000001
1826,H,H,0.904,8318.985999999999
1827,H,B,0.904,8317.193000000001
1828,H,B,0.904,8317.715
1829,H,B,0.904,8315.479
1830,H,B,0.904,8314.871
1831,H,B,0.904,8313.635
1832,H,H,0.902,8301.895
1833,H,H,0.9009999999999999,8290.27
1834,H,B,0.902,8295.2
1835,H,B,0.902,8297.405999999999
1836,H,B,0.903,8309.199
1837,H,B,0.903,8305.966
1838,H,B,0.903,8304.41
1839,H,B,0.903,8306.662
1840,H,B,0.903,8303.261
1841,H,H,0.902,8303.661
1842,H,B,0.903,8304.605
1843,H,B,0.903,8307.651
1844,H,B,0.904,8312.302
1845,H,B,0.9059999999999999,8330.628
1846,H,B,0.907,8340.332
1847,H,H,0.9059999999999999,8332.346
1848,H,B,0.9059999999999999,8331.346
1849,H,H,0.905,8328.381
1850,H,B,0.907,8338.745
1853,H,B,0.9079999999999999,8353.328000000001
1854,H,B,0.9079999999999999,8357.336
1855,H,B,0.9079999999999999,8355.07
1856,H,B,0.909,8363.298
1857,H,B,0.91,8373.394
1858,H,B,0.912,8389.372
1859,H,H,0.9109999999999999,8381.72
1860,H,H,0.91,8371.882
1861,H,B,0.91,8373.532
1862,H,B,0.91,8368.456
1863,H,B,0.91,8373.761
1864,H,B,0.9109999999999999,8378.409
1865,H,H,0.91,8375.898000000001
1866,H,H,0.909,8365.572
1867,H,B,0.9109999999999999,8379.341999999999
1868,H,B,0.9109999999999999,8382.521
1869,H,B,0.9109999999999999,8379.322
1870,H,B,0.9109999999999999,8381.931999999999
1871,H,B,0.9129999999999999,8396.923
1872,H,H,0.912,8392.999
1873,H,H,0.9109999999999999,8384.955
1874,H,B,0.9109999999999999,8379.808
1875,H,H,0.91,8375.089
1876,H,B,0.91,8374.855
1877,H,B,0.9109999999999999,8377.573
1878,H,B,0.9109999999999999,8384.559000000001
1879,H,B,0.912,8386.184000000001
1880,H,H,0.9109999999999999,8384.676
1881,H,B,0.912,8386.799
1882,H,B,0.912,8393.360999999999
1883,H,B,0.912,8392.714
1884,H,B,0.9129999999999999,8400.279
1885,H,B,0.9129999999999999,8396.604
1886,H,H,0.912,8387.461
1887,H,B,0.912,8388.280999999999
1888,H,H,0.9109999999999999,8384.935
1889,H,B,0.9109999999999999,8383.878
1890,H,B,0.9109999999999999,8382.499
1891,H,B,0.9109999999999999,8377.703000000001
1892,H,B,0.9109999999999999,8378.735
1893,H,B,0.9109999999999999,8377.862
1894,H,H,0.91,8375.988000000001
1895,H,B,0.91,8374.929
1896,H,B,0.9109999999999999,8380.12
1897,H,B,0.9109999999999999,8383.739
1898,H,B,0.9109999999999999,8379.459
1899,H,H,0.909,8365.69
1900,H,B,0.909,8362.883
1901,H,B,0.909,8362.458
1902,H,B,0.91,8367.087
1903,H,H,0.909,8361.427
1904,H,B,0.91,8368.355
1905,H,B,0.91,8369.875
1906,H,B,0.91,8368.646999999999
1907,H,H,0.909,8361.885
1908,H,B,0.909,8364.018
1909,H,B,0.909,8357.91
1910,H,H,0.9079999999999999,8351.902
1911,H,B,0.909,8357.925
1912,H,B,0.909,8363.787
1913,H,B,0.909,8365.376
1914,H,B,0.909,8362.232
1915,H,H,0.9079999999999999,8357.298
1916,H,B,0.909,8364.391
